Handle    	Owner               	Type                	Memory    
0x00570057	PLUGINSYS           	Plugin              	5111      
0x00590059	PLUGINSYS           	Plugin              	5134      
0x005b005b	PLUGINSYS           	Plugin              	5100      
0x005d005d	PLUGINSYS           	Plugin              	5157      
0x005f005f	PLUGINSYS           	Plugin              	5122      
0x00610061	PLUGINSYS           	Plugin              	5165      
0x00630063	PLUGINSYS           	Plugin              	5112      
0x00650065	PLUGINSYS           	Plugin              	5194      
0x00660066	weapon_limit.smx    	Trie                	348       
0x00670067	weapon_limit.smx    	CellArray           	8212      
0x00680068	weapon_limit.smx    	Trie                	1308      
0x00690069	weapon_limit.smx    	PrivateFwd          	4         
0x006a006a	weapon_limit.smx    	PrivateFwd          	4         
0x006b006b	weapon_limit.smx    	PrivateFwd          	4         
0x006c006c	weapon_limit.smx    	PrivateFwd          	4         
0x006e006e	PLUGINSYS           	Plugin              	5127      
0x00710071	PLUGINSYS           	Plugin              	5192      
0x00730073	PLUGINSYS           	Plugin              	5120      
0x00750075	PLUGINSYS           	Plugin              	5100      
0x00770077	PLUGINSYS           	Plugin              	5112      
0x00790079	PLUGINSYS           	Plugin              	5194      
0x007b007b	PLUGINSYS           	Plugin              	5144      
0x007d007d	PLUGINSYS           	Plugin              	5100      
0x007f007f	PLUGINSYS           	Plugin              	5163      
0x00810081	PLUGINSYS           	Plugin              	5112      
0x00830083	PLUGINSYS           	Plugin              	5167      
0x00850085	PLUGINSYS           	Plugin              	5182      
0x00860086	clans.smx           	GlobalFwd           	4         
0x00870087	clans.smx           	GlobalFwd           	4         
0x00880088	clans.smx           	GlobalFwd           	4         
0x00890089	clans.smx           	GlobalFwd           	4         
0x008a008a	clans.smx           	GlobalFwd           	4         
0x008b008b	clans.smx           	GlobalFwd           	4         
0x008c008c	clans.smx           	GlobalFwd           	4         
0x008d008d	clans.smx           	GlobalFwd           	4         
0x008e008e	clans.smx           	GlobalFwd           	16        
0x008f008f	clans.smx           	GlobalFwd           	16        
0x00900090	clans.smx           	GlobalFwd           	4         
0x00910091	clans.smx           	GlobalFwd           	4         
0x00920092	clans.smx           	GlobalFwd           	28        
0x00930093	clans.smx           	GlobalFwd           	4         
0x00940094	clans.smx           	GlobalFwd           	4         
0x00960096	PLUGINSYS           	Plugin              	5111      
0x00980098	PLUGINSYS           	Plugin              	5134      
0x00990099	levelsranks.smx     	GlobalFwd           	16        
0x009a009a	levelsranks.smx     	PrivateFwd          	16        
0x009b009b	levelsranks.smx     	PrivateFwd          	4         
0x009c009c	levelsranks.smx     	PrivateFwd          	4         
0x009d009d	levelsranks.smx     	PrivateFwd          	4         
0x009e009e	levelsranks.smx     	PrivateFwd          	4         
0x009f009f	levelsranks.smx     	PrivateFwd          	4         
0x00a000a0	levelsranks.smx     	PrivateFwd          	4         
0x00a100a1	levelsranks.smx     	PrivateFwd          	4         
0x00a200a2	levelsranks.smx     	PrivateFwd          	4         
0x00a300a3	levelsranks.smx     	PrivateFwd          	4         
0x00a400a4	levelsranks.smx     	PrivateFwd          	4         
0x00a500a5	levelsranks.smx     	PrivateFwd          	4         
0x00a600a6	levelsranks.smx     	PrivateFwd          	4         
0x00a700a7	levelsranks.smx     	PrivateFwd          	4         
0x00a800a8	levelsranks.smx     	PrivateFwd          	4         
0x00a900a9	levelsranks.smx     	PrivateFwd          	4         
0x00aa00aa	levelsranks.smx     	PrivateFwd          	4         
0x00ab00ab	levelsranks.smx     	PrivateFwd          	4         
0x00ac00ac	levelsranks.smx     	PrivateFwd          	4         
0x00ad00ad	levelsranks.smx     	PrivateFwd          	4         
0x00af00af	PLUGINSYS           	Plugin              	5111      
0x00b100b1	PLUGINSYS           	Plugin              	5112      
0x00b300b3	PLUGINSYS           	Plugin              	5125      
0x00b500b5	PLUGINSYS           	Plugin              	5112      
0x00b700b7	PLUGINSYS           	Plugin              	5100      
0x00b900b9	PLUGINSYS           	Plugin              	5123      
0x00bb00bb	PLUGINSYS           	Plugin              	5164      
0x00bd00bd	PLUGINSYS           	Plugin              	5172      
0x00be00be	NONE                	ConVar              	112       
0x00bf00bf	NONE                	ConVar              	112       
0x00c000c0	NONE                	ConVar              	112       
0x00c100c1	NONE                	ConVar              	112       
0x00c200c2	NONE                	ConVar              	112       
0x00c300c3	NONE                	ConVar              	112       
0x00c400c4	NONE                	ConVar              	112       
0x00c500c5	NONE                	ConVar              	112       
0x00c600c6	NONE                	ConVar              	112       
0x00c700c7	NONE                	ConVar              	112       
0x00c800c8	NONE                	ConVar              	112       
0x00c900c9	eitems.smx          	Trie                	40988     
0x00ca00ca	eitems.smx          	CellArray           	8212      
0x00cb00cb	eitems.smx          	Trie                	2588      
0x00cc00cc	eitems.smx          	Trie                	2588      
0x00cd00cd	eitems.smx          	CellArray           	532       
0x00ce00ce	eitems.smx          	Trie                	348       
0x00cf00cf	eitems.smx          	Trie                	348       
0x00d000d0	eitems.smx          	CellArray           	52        
0x00d100d1	eitems.smx          	CellArray           	276       
0x00d200d2	eitems.smx          	Trie                	2588      
0x00d300d3	eitems.smx          	CellArray           	276       
0x00d400d4	eitems.smx          	Trie                	1308      
0x00d500d5	eitems.smx          	CellArray           	148       
0x00d600d6	eitems.smx          	CellArray           	2068      
0x00d700d7	eitems.smx          	Trie                	668       
0x00d800d8	eitems.smx          	Trie                	10268     
0x00d900d9	eitems.smx          	CellArray           	276       
0x00da00da	eitems.smx          	CellArray           	32788     
0x00db00db	eitems.smx          	Trie                	1308      
0x00dc00dc	eitems.smx          	Trie                	163868    
0x00dd00dd	eitems.smx          	CellArray           	276       
0x00de00de	eitems.smx          	Trie                	2588      
0x00df00df	eitems.smx          	CellArray           	532       
0x00e000e0	eitems.smx          	Trie                	5148      
0x00e100e1	eitems.smx          	CellArray           	1044      
0x00e200e2	eitems.smx          	Trie                	5148      
0x00e300e3	eitems.smx          	CellArray           	84        
0x00e400e4	eitems.smx          	CellArray           	2068      
0x00e500e5	eitems.smx          	Trie                	348       
0x00e600e6	eitems.smx          	Trie                	10268     
0x00e700e7	NONE                	ConVar              	112       
0x00ea00e8	eitems.smx          	GameConfigs         	-1        
0x00eb00e9	eitems.smx          	ValveCall           	-1        
0x00ec00ea	NONE                	ConVar              	112       
0x00ed00eb	NONE                	ConVar              	112       
0x00ee00ec	NONE                	ConVar              	112       
0x00ef00ed	basevotes.smx       	CellArray           	20        
0x00f000ee	basevotes.smx       	IBaseMenu           	103       
0x00f100ef	ma_adminmenu.smx    	GlobalFwd           	4         
0x00f200f0	ma_adminmenu.smx    	GlobalFwd           	124       
0x00f300f1	NONE                	ConVar              	112       
0x00f400f2	NONE                	ConVar              	112       
0x03ea00f3	discord_ad.smx      	Timer               	-1        
0x00f600f4	NONE                	ConVar              	112       
0x00f700f5	NONE                	ConVar              	112       
0x00f800f6	quick_defuse.smx    	Cookie              	-1        
0x00f900f7	NONE                	ConVar              	112       
0x00fa00f8	NONE                	ConVar              	112       
0x00fb00f9	NONE                	ConVar              	112       
0x00fc00fa	NONE                	ConVar              	112       
0x00fd00fb	NONE                	ConVar              	112       
0x00fe00fc	NONE                	ConVar              	112       
0x00ff00fd	NONE                	ConVar              	112       
0x010000fe	NONE                	ConVar              	112       
0x010100ff	NONE                	ConVar              	112       
0x01020100	NONE                	ConVar              	112       
0x01030101	NONE                	ConVar              	112       
0x01040102	NONE                	ConVar              	112       
0x01050103	NONE                	ConVar              	112       
0x01060104	NONE                	ConVar              	112       
0x01070105	NONE                	ConVar              	112       
0x01080106	NONE                	ConVar              	112       
0x01090107	NONE                	ConVar              	112       
0x010a0108	NONE                	ConVar              	112       
0x010b0109	NONE                	ConVar              	112       
0x010c010a	csgo_case_opening.sm	Cookie              	-1        
0x010e010c	NONE                	ConVar              	112       
0x010f010d	NONE                	ConVar              	112       
0x0110010e	NONE                	ConVar              	112       
0x0111010f	NONE                	ConVar              	112       
0x01120110	NONE                	ConVar              	112       
0x01130111	NONE                	ConVar              	112       
0x01140112	NONE                	ConVar              	112       
0x01150113	NONE                	ConVar              	112       
0x01160114	NONE                	ConVar              	112       
0x01170115	NONE                	ConVar              	112       
0x01180116	NONE                	ConVar              	112       
0x01190117	NONE                	ConVar              	112       
0x011a0118	NONE                	ConVar              	112       
0x011b0119	NONE                	ConVar              	112       
0x011c011a	NONE                	ConVar              	112       
0x011d011b	keys/Keys_Core.smx  	Trie                	348       
0x011e011c	keys/Keys_Core.smx  	CellArray           	532       
0x011f011d	NONE                	ConVar              	112       
0x0120011e	NONE                	ConVar              	112       
0x0121011f	NONE                	ConVar              	112       
0x01220120	NONE                	ConVar              	112       
0x01230121	NONE                	ConVar              	112       
0x01240122	NONE                	ConVar              	112       
0x01250123	NONE                	ConVar              	112       
0x01260124	NONE                	ConVar              	112       
0x01270125	NONE                	ConVar              	112       
0x01280126	NONE                	ConVar              	112       
0x01290127	materialadmin.smx   	CellArray           	20        
0x012a0128	materialadmin.smx   	CellArray           	20        
0x012b0129	materialadmin.smx   	CellArray           	20        
0x012c012a	materialadmin.smx   	CellArray           	20        
0x012d012b	materialadmin.smx   	CellArray           	20        
0x012e012c	materialadmin.smx   	CellArray           	20        
0x012f012d	materialadmin.smx   	CellArray           	20        
0x0130012e	materialadmin.smx   	CellArray           	20        
0x0131012f	materialadmin.smx   	CellArray           	20        
0x01320130	materialadmin.smx   	CellArray           	20        
0x01330131	materialadmin.smx   	CellArray           	20        
0x01340132	materialadmin.smx   	CellArray           	20        
0x01350133	materialadmin.smx   	CellArray           	20        
0x01360134	materialadmin.smx   	CellArray           	20        
0x01370135	materialadmin.smx   	CellArray           	20        
0x01380136	materialadmin.smx   	CellArray           	20        
0x01390137	materialadmin.smx   	CellArray           	20        
0x013a0138	materialadmin.smx   	CellArray           	20        
0x013b0139	materialadmin.smx   	CellArray           	20        
0x013c013a	materialadmin.smx   	CellArray           	20        
0x013d013b	materialadmin.smx   	CellArray           	20        
0x013e013c	materialadmin.smx   	CellArray           	20        
0x013f013d	materialadmin.smx   	CellArray           	20        
0x0140013e	materialadmin.smx   	CellArray           	20        
0x0141013f	materialadmin.smx   	CellArray           	20        
0x01420140	materialadmin.smx   	CellArray           	20        
0x01430141	materialadmin.smx   	CellArray           	20        
0x01440142	materialadmin.smx   	CellArray           	20        
0x01450143	materialadmin.smx   	CellArray           	20        
0x01460144	materialadmin.smx   	CellArray           	20        
0x01470145	materialadmin.smx   	CellArray           	20        
0x01480146	materialadmin.smx   	CellArray           	20        
0x01490147	materialadmin.smx   	CellArray           	20        
0x014a0148	materialadmin.smx   	CellArray           	20        
0x014b0149	materialadmin.smx   	CellArray           	20        
0x014c014a	materialadmin.smx   	CellArray           	20        
0x014d014b	materialadmin.smx   	CellArray           	20        
0x014e014c	materialadmin.smx   	CellArray           	20        
0x014f014d	materialadmin.smx   	CellArray           	20        
0x0150014e	materialadmin.smx   	CellArray           	20        
0x0151014f	materialadmin.smx   	CellArray           	20        
0x01520150	materialadmin.smx   	CellArray           	20        
0x01530151	materialadmin.smx   	CellArray           	20        
0x01540152	materialadmin.smx   	CellArray           	20        
0x01550153	materialadmin.smx   	CellArray           	20        
0x01560154	materialadmin.smx   	CellArray           	20        
0x01570155	materialadmin.smx   	CellArray           	20        
0x01580156	materialadmin.smx   	CellArray           	20        
0x01590157	materialadmin.smx   	CellArray           	20        
0x015a0158	materialadmin.smx   	CellArray           	20        
0x015b0159	materialadmin.smx   	CellArray           	20        
0x015c015a	materialadmin.smx   	CellArray           	20        
0x015d015b	materialadmin.smx   	CellArray           	20        
0x015e015c	materialadmin.smx   	CellArray           	20        
0x015f015d	materialadmin.smx   	CellArray           	20        
0x0160015e	materialadmin.smx   	CellArray           	20        
0x0161015f	materialadmin.smx   	CellArray           	20        
0x01620160	materialadmin.smx   	CellArray           	20        
0x01630161	materialadmin.smx   	CellArray           	20        
0x01640162	materialadmin.smx   	CellArray           	20        
0x01650163	materialadmin.smx   	CellArray           	20        
0x01660164	materialadmin.smx   	CellArray           	20        
0x01670165	materialadmin.smx   	CellArray           	20        
0x01680166	materialadmin.smx   	CellArray           	20        
0x01690167	materialadmin.smx   	CellArray           	20        
0x016a0168	materialadmin.smx   	CellArray           	212       
0x016b0169	materialadmin.smx   	Trie                	348       
0x016c016a	materialadmin.smx   	Trie                	348       
0x016d016b	materialadmin.smx   	Trie                	348       
0x016e016c	materialadmin.smx   	Trie                	348       
0x016f016d	materialadmin.smx   	Trie                	348       
0x0170016e	materialadmin.smx   	Trie                	348       
0x0171016f	materialadmin.smx   	Trie                	348       
0x01720170	materialadmin.smx   	Trie                	348       
0x01730171	materialadmin.smx   	Trie                	1308      
0x01740172	materialadmin.smx   	IBaseMenu           	396       
0x01750173	materialadmin.smx   	IBaseMenu           	196       
0x01760174	materialadmin.smx   	IBaseMenu           	196       
0x01770175	materialadmin.smx   	SMCParser           	32        
0x01780176	materialadmin.smx   	SMCParser           	32        
0x03f90177	basevotes.smx       	CellArray           	2068      
0x017c0178	materialadmin.smx   	DataPack            	18        
0x017b0179	materialadmin.smx   	IDatabase           	-1        
0x017d017a	NONE                	ConVar              	112       
0x017e017b	NONE                	ConVar              	112       
0x017f017c	discord_api.smx     	Trie                	348       
0x0180017d	discord_api.smx     	Trie                	348       
0x0181017e	discord_api.smx     	Trie                	348       
0x0182017f	nextmap.smx         	CellArray           	2068      
0x01830180	rpb_command.smx     	Cookie              	-1        
0x01840181	CORE                	IMenuStyle          	168664    
0x01850182	VIP_Core.smx        	CellArray           	20        
0x01860183	VIP_Core.smx        	Trie                	348       
0x018b0184	VIP_Core.smx        	KeyValues           	3167      
0x018a0185	VIP_Core.smx        	KeyValues           	45        
0x018c0186	VIP_Core.smx        	IBaseMenu           	76        
0x018d0187	VIP_Core.smx        	IBaseMenu           	136       
0x018e0188	NONE                	ConVar              	112       
0x018f0189	NONE                	ConVar              	112       
0x0190018a	NONE                	ConVar              	112       
0x0191018b	NONE                	ConVar              	112       
0x0192018c	NONE                	ConVar              	112       
0x0193018d	NONE                	ConVar              	112       
0x0194018e	NONE                	ConVar              	112       
0x0195018f	NONE                	ConVar              	112       
0x01960190	NONE                	ConVar              	112       
0x01970191	NONE                	ConVar              	112       
0x01980192	NONE                	ConVar              	112       
0x01990193	NONE                	ConVar              	112       
0x019a0194	NONE                	ConVar              	112       
0x019b0195	VIP_Core.smx        	GlobalFwd           	4         
0x019c0196	VIP_Core.smx        	GlobalFwd           	16        
0x019d0197	VIP_Core.smx        	GlobalFwd           	4         
0x019e0198	VIP_Core.smx        	GlobalFwd           	4         
0x019f0199	VIP_Core.smx        	GlobalFwd           	4         
0x01a0019a	VIP_Core.smx        	GlobalFwd           	4         
0x01a1019b	VIP_Core.smx        	GlobalFwd           	4         
0x01a2019c	VIP_Core.smx        	GlobalFwd           	4         
0x01a3019d	VIP_Core.smx        	GlobalFwd           	4         
0x01a4019e	VIP_Core.smx        	GlobalFwd           	4         
0x01a5019f	VIP_Core.smx        	GlobalFwd           	4         
0x01a601a0	VIP_Core.smx        	GlobalFwd           	4         
0x01a701a1	NONE                	ConVar              	112       
0x01a801a2	NONE                	ConVar              	112       
0x01a901a3	NONE                	ConVar              	112       
0x01aa01a4	NONE                	ConVar              	112       
0x01ab01a5	NONE                	ConVar              	112       
0x01ac01a6	NONE                	ConVar              	112       
0x01ad01a7	NONE                	ConVar              	112       
0x01ae01a8	NONE                	ConVar              	112       
0x01af01a9	NONE                	ConVar              	112       
0x01b001aa	NONE                	ConVar              	112       
0x01b101ab	NONE                	ConVar              	112       
0x01b301ac	NONE                	ConVar              	112       
0x01b501ad	NONE                	ConVar              	112       
0x01b701ae	NONE                	ConVar              	112       
0x01b901af	NONE                	ConVar              	112       
0x01bd01b0	NONE                	ConVar              	112       
0x01bc01b1	levelsranks_fakerank	KeyValues           	672       
0x01be01b2	NONE                	ConVar              	112       
0x01bf01b3	NONE                	ConVar              	112       
0x01c001b4	NONE                	ConVar              	112       
0x01c101b5	NONE                	ConVar              	112       
0x01c201b6	NONE                	ConVar              	112       
0x01c301b7	NONE                	ConVar              	112       
0x01c401b8	NONE                	ConVar              	112       
0x01c501b9	NONE                	ConVar              	112       
0x01c601ba	ma_basevotes.smx    	CellArray           	20        
0x01c701bb	ma_basevotes.smx    	IBaseMenu           	103       
0x01c801bc	NONE                	ConVar              	112       
0x01c901bd	NONE                	ConVar              	112       
0x01ca01be	NONE                	ConVar              	112       
0x01cb01bf	NONE                	ConVar              	112       
0x01cc01c0	NONE                	ConVar              	112       
0x01cd01c1	NONE                	ConVar              	112       
0x01ce01c2	NONE                	ConVar              	112       
0x01cf01c3	NONE                	ConVar              	112       
0x01d101c4	DropsSummoner_discor	HTTPClient          	-1        
0x01d201c5	NONE                	ConVar              	112       
0x01d601c6	NONE                	ConVar              	112       
0x01d401c7	DropsSummoner_discor	ValveCall           	-1        
0x01d501c8	DropsSummoner_discor	HookSetup           	-1        
0x01d701c9	NONE                	ConVar              	112       
0x01d801ca	NONE                	ConVar              	112       
0x01d901cb	Game_Manager.smx    	Timer               	-1        
0x01da01cc	NONE                	ConVar              	112       
0x01db01cd	NONE                	ConVar              	112       
0x01dc01ce	NONE                	ConVar              	112       
0x01dd01cf	NONE                	ConVar              	112       
0x01de01d0	NONE                	ConVar              	112       
0x01df01d1	NONE                	ConVar              	112       
0x01e001d2	NONE                	ConVar              	112       
0x01e101d3	NONE                	ConVar              	112       
0x01e201d4	NONE                	ConVar              	112       
0x01e301d5	NONE                	ConVar              	112       
0x01e401d6	NONE                	ConVar              	112       
0x01e501d7	NONE                	ConVar              	112       
0x01e601d8	NONE                	ConVar              	112       
0x01e701d9	NONE                	ConVar              	112       
0x01e801da	NONE                	ConVar              	112       
0x01e901db	NONE                	ConVar              	112       
0x01ea01dc	NONE                	ConVar              	112       
0x01eb01dd	NONE                	ConVar              	112       
0x01ec01de	NONE                	ConVar              	112       
0x01ed01df	NONE                	ConVar              	112       
0x01ee01e0	NONE                	ConVar              	112       
0x01ef01e1	NONE                	ConVar              	112       
0x01f001e2	NONE                	ConVar              	112       
0x01f101e3	NONE                	ConVar              	112       
0x01f201e4	NONE                	ConVar              	112       
0x01f301e5	NONE                	ConVar              	112       
0x01f401e6	NONE                	ConVar              	112       
0x01f501e7	NONE                	ConVar              	112       
0x01f601e8	NONE                	ConVar              	112       
0x01f701e9	NONE                	ConVar              	112       
0x01f801ea	NONE                	ConVar              	112       
0x01f901eb	NONE                	ConVar              	112       
0x01fa01ec	NONE                	ConVar              	112       
0x01fb01ed	NONE                	ConVar              	112       
0x01fc01ee	NONE                	ConVar              	112       
0x01fd01ef	Game_Manager.smx    	CellArray           	20        
0x01fe01f0	NONE                	ConVar              	112       
0x01ff01f1	NONE                	ConVar              	112       
0x020001f2	NONE                	ConVar              	112       
0x020101f3	NONE                	ConVar              	112       
0x020201f4	send_file_exploit_fi	Timer               	-1        
0x020301f5	basecommands.smx    	IBaseMenu           	126       
0x020401f6	basecommands.smx    	Trie                	348       
0x020501f7	NONE                	ConVar              	112       
0x020601f8	NONE                	ConVar              	112       
0x020701f9	NONE                	ConVar              	112       
0x020801fa	NONE                	ConVar              	112       
0x020901fb	NONE                	ConVar              	112       
0x020a01fc	NONE                	ConVar              	112       
0x020b01fd	NONE                	ConVar              	112       
0x020c01fe	Discord/Core.smx    	Trie                	348       
0x020d01ff	NONE                	ConVar              	112       
0x020e0200	NONE                	ConVar              	112       
0x020f0201	NONE                	ConVar              	112       
0x02100202	NONE                	ConVar              	112       
0x02110203	eSprays.smx         	Cookie              	-1        
0x02120204	eSprays.smx         	Cookie              	-1        
0x02130205	eSprays.smx         	Cookie              	-1        
0x02140206	eSprays.smx         	Cookie              	-1        
0x02160207	NONE                	ConVar              	112       
0x02170208	NONE                	ConVar              	112       
0x02180209	NONE                	ConVar              	112       
0x0219020a	NONE                	ConVar              	112       
0x021a020b	NONE                	ConVar              	112       
0x021b020c	NONE                	ConVar              	112       
0x021c020d	NONE                	ConVar              	112       
0x021d020e	NONE                	ConVar              	112       
0x021e020f	NONE                	ConVar              	112       
0x021f0210	NONE                	ConVar              	112       
0x02200211	NONE                	ConVar              	112       
0x02210212	NONE                	ConVar              	112       
0x02220213	NONE                	ConVar              	112       
0x02230214	NONE                	ConVar              	112       
0x02240215	NONE                	ConVar              	112       
0x02250216	NONE                	ConVar              	112       
0x02260217	NONE                	ConVar              	112       
0x02270218	NONE                	ConVar              	112       
0x02280219	NONE                	ConVar              	112       
0x0229021a	NONE                	ConVar              	112       
0x022a021b	NONE                	ConVar              	112       
0x022b021c	NONE                	ConVar              	112       
0x022c021d	NONE                	ConVar              	112       
0x022d021e	NONE                	ConVar              	112       
0x022e021f	NONE                	ConVar              	112       
0x022f0220	NONE                	ConVar              	112       
0x02300221	NONE                	ConVar              	112       
0x02310222	NONE                	ConVar              	112       
0x02320223	NONE                	ConVar              	112       
0x02330224	NONE                	ConVar              	112       
0x02340225	NONE                	ConVar              	112       
0x02350226	NONE                	ConVar              	112       
0x02360227	NONE                	ConVar              	112       
0x02370228	NONE                	ConVar              	112       
0x02380229	NONE                	ConVar              	112       
0x0239022a	NONE                	ConVar              	112       
0x023a022b	NONE                	ConVar              	112       
0x023b022c	clans.smx           	Cookie              	-1        
0x023c022d	clans.smx           	Cookie              	-1        
0x023d022e	clans.smx           	IDatabase           	-1        
0x0241022f	clans.smx           	CellStack           	20        
0x02420230	clans.smx           	CellStack           	20        
0x02430231	clans.smx           	CellStack           	20        
0x02440232	clans.smx           	CellStack           	20        
0x02450233	clans.smx           	CellStack           	20        
0x02460234	clans.smx           	CellStack           	20        
0x02470235	clans.smx           	CellStack           	20        
0x02480236	clans.smx           	CellStack           	20        
0x02490237	clans.smx           	CellStack           	20        
0x024a0238	clans.smx           	CellStack           	20        
0x024b0239	clans.smx           	CellStack           	20        
0x024c023a	clans.smx           	CellStack           	20        
0x024d023b	clans.smx           	CellStack           	20        
0x024e023c	clans.smx           	CellStack           	20        
0x024f023d	clans.smx           	CellStack           	20        
0x0250023e	clans.smx           	CellStack           	20        
0x0251023f	clans.smx           	CellStack           	20        
0x02520240	clans.smx           	CellStack           	20        
0x02530241	clans.smx           	CellStack           	20        
0x02540242	clans.smx           	CellStack           	20        
0x02550243	clans.smx           	CellStack           	20        
0x02560244	clans.smx           	CellStack           	20        
0x02570245	clans.smx           	CellStack           	20        
0x02580246	clans.smx           	CellStack           	20        
0x02590247	clans.smx           	CellStack           	20        
0x025a0248	clans.smx           	CellStack           	20        
0x025b0249	clans.smx           	CellStack           	20        
0x025c024a	clans.smx           	CellStack           	20        
0x025d024b	clans.smx           	CellStack           	20        
0x025e024c	clans.smx           	CellStack           	20        
0x025f024d	clans.smx           	CellStack           	20        
0x0260024e	clans.smx           	CellStack           	20        
0x0261024f	clans.smx           	CellStack           	20        
0x02620250	clans.smx           	CellStack           	20        
0x02630251	clans.smx           	CellStack           	20        
0x02640252	clans.smx           	CellStack           	20        
0x02650253	clans.smx           	CellStack           	20        
0x02660254	clans.smx           	CellStack           	20        
0x02670255	clans.smx           	CellStack           	20        
0x02680256	clans.smx           	CellStack           	20        
0x02690257	clans.smx           	CellStack           	20        
0x026a0258	clans.smx           	CellStack           	20        
0x026b0259	clans.smx           	CellStack           	20        
0x026c025a	clans.smx           	CellStack           	20        
0x026d025b	clans.smx           	CellStack           	20        
0x026e025c	clans.smx           	CellStack           	20        
0x026f025d	clans.smx           	CellStack           	20        
0x0270025e	clans.smx           	CellStack           	20        
0x0271025f	clans.smx           	CellStack           	20        
0x02720260	clans.smx           	CellStack           	20        
0x02730261	clans.smx           	CellStack           	20        
0x02740262	clans.smx           	CellStack           	20        
0x02750263	clans.smx           	CellStack           	20        
0x02760264	clans.smx           	CellStack           	20        
0x02770265	clans.smx           	CellStack           	20        
0x02780266	clans.smx           	CellStack           	20        
0x02790267	clans.smx           	CellStack           	20        
0x027a0268	clans.smx           	CellStack           	20        
0x027b0269	clans.smx           	CellStack           	20        
0x027c026a	clans.smx           	CellStack           	20        
0x027d026b	clans.smx           	CellStack           	20        
0x027e026c	clans.smx           	CellStack           	20        
0x027f026d	clans.smx           	CellStack           	20        
0x0280026e	clans.smx           	CellStack           	20        
0x0281026f	clans.smx           	CellStack           	20        
0x02820270	clans.smx           	CellStack           	20        
0x02830271	clans.smx           	CellStack           	20        
0x02840272	clans.smx           	CellStack           	20        
0x02850273	clans.smx           	CellStack           	20        
0x02860274	clans.smx           	CellStack           	20        
0x02870275	clans.smx           	CellStack           	20        
0x02880276	clans.smx           	CellStack           	20        
0x02890277	clans.smx           	CellStack           	20        
0x028a0278	clans.smx           	CellStack           	20        
0x028b0279	clans.smx           	CellStack           	20        
0x028c027a	clans.smx           	CellStack           	20        
0x028d027b	clans.smx           	CellStack           	20        
0x028e027c	clans.smx           	CellStack           	20        
0x028f027d	clans.smx           	CellStack           	20        
0x0290027e	clans.smx           	CellStack           	20        
0x0291027f	clans.smx           	CellStack           	20        
0x02920280	clans.smx           	CellStack           	20        
0x02930281	clans.smx           	CellStack           	20        
0x02940282	clans.smx           	CellStack           	20        
0x02950283	clans.smx           	CellStack           	20        
0x02960284	clans.smx           	CellStack           	20        
0x02970285	clans.smx           	CellStack           	20        
0x02980286	clans.smx           	CellStack           	20        
0x02990287	clans.smx           	CellStack           	20        
0x029a0288	clans.smx           	CellStack           	20        
0x029b0289	clans.smx           	CellStack           	20        
0x029c028a	clans.smx           	CellStack           	20        
0x029d028b	clans.smx           	CellStack           	20        
0x029e028c	clans.smx           	CellStack           	20        
0x029f028d	clans.smx           	CellStack           	20        
0x02a0028e	clans.smx           	CellStack           	20        
0x02a1028f	clans.smx           	CellStack           	20        
