// Dump of all classes for "csgo" as at 2023/04/03
//

CFireSmoke - _firesmoke
CBaseCSGrenadeProjectile - flashbang_projectile
CBaseEntity - fog_volume
CBaseEntity - func_areaportal
CFuncAreaPortalWindow - func_areaportalwindow
CFuncBrush - func_block_dm_spawns
CBaseTrigger - func_bomb_target
CBaseEntity - func_breakable
CBreakableSurface - func_breakable_surf
CFuncBrush - func_brush
CBaseButton - func_button
CBaseTrigger - func_buyzone
CBaseEntity - func_clip_vphysics
CFuncConveyor - func_conveyor
CBaseEntity - func_detail_blocker
CBaseDoor - func_door
CBaseDoor - func_door_rotating
CFunc_Dust - func_dustcloud
CFunc_Dust - func_dustmotes
CBaseEntity - func_fish_pool
CFootstepControl - func_footstep_control
CBaseToggle - func_guntarget
CBaseTrigger - func_hostage_rescue
CBaseEntity - func_illusionary
CBaseEntity - func_instance_io_proxy
CBaseEntity - func_ladderendpoint
CFunc_LOD - func_lod
CFuncMonitor - func_monitor
CFuncMoveLinear - func_movelinear
CBaseEntity - func_nav_avoidance_obstacle
CBaseEntity - func_nav_blocker
CBaseTrigger - func_no_defuse
CFuncOccluder - func_occluder
CPhysBox - func_physbox
CPhysBoxMultiplayer - func_physbox_multiplayer
CBaseToggle - func_plat
CBaseToggle - func_platrot
CPrecipitation - func_precipitation
CPrecipitationBlocker - func_precipitation_blocker
CBaseEntity - func_proprrespawnzone
CBaseEntity - func_pushable
CFuncReflectiveGlass - func_reflective_glass
CBaseButton - func_rot_button
CFuncRotating - func_rotating
CFuncSmokeVolume - func_smokevolume
CBRC4Target - func_survival_c4_target
CBaseTrigger - func_tablet_blocker
CBaseEntity - func_tank
CBaseEntity - func_tankairboatgun
CBaseEntity - func_tankapcrocket
CBaseEntity - func_tanklaser
CBaseEntity - func_tankpulselaser
CBaseEntity - func_tankrocket
CFuncTrackTrain - func_tanktrain
CBaseToggle - func_trackautochange
CBaseToggle - func_trackchange
CFuncTrackTrain - func_tracktrain
CBaseToggle - func_train
CBaseEntity - func_traincontrols
CFuncLadder - func_useableladder
CBaseEntity - func_vehicleclip
CBaseEntity - func_wall
CBaseEntity - func_wall_toggle
CBaseDoor - func_water
CFuncMoveLinear - func_water_analog
CBaseEntity - func_weight_button
CBaseFlex - funCBaseFlex
CBaseEntity - game_coopmission_manager
CBaseEntity - game_end
CBaseEntity - game_gib_manager
CBaseEntity - game_money
CBaseEntity - game_player_equip
CBaseEntity - game_player_team
CRagdollManager - game_ragdoll_manager
CBaseEntity - game_round_end
CBaseEntity - game_score
CBaseEntity - game_survival_logic
CBaseEntity - game_text
CBaseEntity - game_ui
CBaseEntity - game_weapon_manager
CBaseEntity - game_zone_player
CAI_BaseNPC - generic_actor
CBaseAnimating - gib
CBaseEntity - gibshooter
CBaseEntity - global_chatter
CGrassBurn - grassburn
CBaseGrenade - grenade
CBaseEntity - hammer_updateignorelist
CBaseEntity - handle_dummy
CHandleTest - handle_test
CBaseCSGrenadeProjectile - hegrenade_projectile
CHostageCarriableProp - hostage_carriable_prop
CHostage - hostage_entity
CInferno - inferno
CBaseEntity - info_armsrace_counterterrorist
CBaseEntity - info_armsrace_terrorist
CBaseEntity - info_bomb_target_hint_A
CBaseEntity - info_bomb_target_hint_B
CBaseEntity - info_camera_link
CBaseEntity - info_constraint_anchor
CBaseEntity - info_deathmatch_spawn
CBaseEntity - info_enemy_terrorist_spawn
CBaseEntity - info_game_event_proxy
CBaseEntity - info_gascanister_launchpoint
CBaseEntity - info_hint
CBaseEntity - info_hostage_rescue_zone_hint
CHostage - info_hostage_spawn
CBaseEntity - info_intermission
CInfoLadderDismount - info_ladder_dismount
CBaseEntity - info_landmark
CBaseEntity - info_map_parameters
CInfoMapRegion - info_map_region
CBaseEntity - info_mass_center
CBaseEntity - info_node
CBaseEntity - info_node_air
CBaseEntity - info_node_air_hint
CBaseEntity - info_node_climb
CBaseEntity - info_node_hint
CBaseEntity - info_node_link
CBaseEntity - info_node_link_controller
CBaseEntity - info_null
CInfoOverlayAccessor - info_overlay_accessor
CBaseEntity - info_paradrop_denial
CParticleSystem - info_particle_system
CBaseEntity - info_player_counterterrorist
CBaseEntity - info_player_deathmatch
CBaseEntity - info_player_logo
CPlayerPing - info_player_ping
CBaseEntity - info_player_start
CBaseEntity - info_player_teamspawn
CBaseEntity - info_player_terrorist
CBaseEntity - info_projecteddecal
CBaseEntity - info_radial_link_controller
CBaseEntity - info_remarkable
CBaseEntity - info_target
CBaseEntity - info_target_instructor_hint
CBaseEntity - info_teleport_destination
CBaseEntity - info_vehicle_groundspawn
CBaseEntity - info_view_parameters
CBaseEntity - infodecal
CSceneEntity - instanced_scripted_scene
CEconEntity - item_assaultsuit
CItemCash - item_cash
CDynamicProp - item_coop_coin
CEconEntity - item_cutters
CEconEntity - item_defuser
CItemDogtags - item_dogtags
CEconEntity - item_heavyassaultsuit
CEconEntity - item_kevlar
CEconEntity - item_nvgs
CBaseAnimating - item_sodacan
CRopeKeyframe - keyframe_rope
CBaseEntity - keyframe_track
CBaseEntity - light
CBaseEntity - light_directional
CDynamicLight - light_dynamic
CBaseEntity - light_environment
CBaseEntity - light_glspot
CBaseEntity - light_spot
CBaseEntity - logic_active_autosave
CBaseEntity - logic_auto
CBaseEntity - logic_autosave
CBaseEntity - logic_branch
CBaseEntity - logic_branch_listener
CBaseEntity - logic_case
CSceneEntity - logic_choreographed_scene
CBaseEntity - logic_collision_pair
CBaseEntity - logic_compare
CBaseEntity - logic_eventlistener
CBaseEntity - logic_eventlistener_itemequip
CBaseEntity - logic_lineto
CBaseEntity - logic_measure_movement
CBaseEntity - logic_multicompare
CBaseEntity - logic_navigation
CBaseEntity - logic_playerproxy
CBaseEntity - logic_playmovie
CBaseEntity - logic_proximity
CBaseEntity - logic_random_outputs
CBaseEntity - logic_register_activator
CBaseEntity - logic_relay
CBaseEntity - logic_scene_list_manager
CBaseEntity - logic_script
CBaseEntity - logic_timer
CMapVetoPickController - mapvetopick_controller
CMaterialModifyControl - material_modify_control
CBaseEntity - math_colorblend
CBaseEntity - math_counter
CBaseEntity - math_remap
CAI_BaseNPC - model_studio
CMolotovProjectile - molotov_projectile
CFuncMoveLinear - momentary_door
CBaseButton - momentary_rot_button
CAI_BaseNPC - monster_furniture
CAI_BaseNPC - monster_generic
CBaseEntity - move_keyframed
CRopeKeyframe - move_rope
CBaseEntity - multisource
CAI_BaseNPC - npc_furniture
CAI_BaseNPC - npc_heardanger
CAI_BaseNPC - npc_vehicledriver
CParadropChopper - paradrop_chopper
CBaseEntity - path_corner
CBaseEntity - path_corner_crash
CBaseEntity - path_track
CBaseEntity - phys_ballsocket
CBoneFollower - phys_bone_follower
CBaseEntity - phys_constraint
CBaseEntity - phys_constraintsystem
CBaseEntity - phys_convert
CBaseEntity - phys_hinge
CBaseEntity - phys_keepupright
CBaseEntity - phys_lengthconstraint
CPhysMagnet - phys_magnet
CBaseEntity - phys_motor
CBaseEntity - phys_pulleyconstraint
CBaseEntity - phys_ragdollconstraint
CBaseEntity - phys_ragdollmagnet
CBaseEntity - phys_slideconstraint
CBaseEntity - phys_spring
CBaseEntity - phys_thruster
CBaseEntity - phys_torque
CBaseCombatCharacter - physics_cannister
CBaseEntity - physics_entity_solver
CBaseEntity - physics_npc_solver
CPhysicsProp - physics_prop
CRagdollProp - physics_prop_ragdoll
CStatueProp - physics_prop_statue
CPlantedC4 - planted_c4
CPlantedC4 - planted_c4_survival
CPlantedC4 - planted_c4_training
CCSPlayer - player
CBaseEntity - player_loadsaved
CPlayerResource - player_manager
CBaseEntity - player_speedmod
CBaseEntity - player_weaponstrip
CBaseEntity - point_anglesensor
CBaseEntity - point_angularvelocitysensor
CBaseEntity - point_bonusmaps_accessor
CBaseEntity - point_broadcastclientcommand
CPointCamera - point_camera
CBaseEntity - point_clientcommand
CPointCommentaryNode - point_commentary_node
CSprite - point_commentary_viewpoint
CBaseEntity - point_devshot_camera
CBaseEntity - point_dz_dronegun
CBaseEntity - point_dz_itemspawn
CBaseEntity - point_dz_itemspawn_group
CBaseEntity - point_dz_parachute
CBaseEntity - point_dz_weaponspawn
CBaseEntity - point_dz_weaponspawn_group
CBaseEntity - point_enable_motion_fixup
CBaseEntity - point_entity_finder
CBaseEntity - point_gamestats_counter
CBaseEntity - point_give_ammo
CBaseEntity - point_hiding_spot
CBaseEntity - point_hurt
CBaseEntity - point_message
CBaseEntity - point_playermoveconstraint
CPoseController - point_posecontroller
CBaseEntity - point_proximity_sensor
CBaseEntity - point_servercommand
CBaseEntity - point_spotlight
CBaseEntity - point_surroundtest
CBaseEntity - point_teleport
CBaseEntity - point_template
CTesla - point_tesla
CBaseEntity - point_velocitysensor
CBaseEntity - point_viewcontrol
CBaseEntity - point_viewcontrol_multiplayer
CBaseEntity - point_viewproxy
CPointWorldText - point_worldtext
CPostProcessController - postprocess_controller
CPredictedViewModel - predicted_viewmodel
CPhysPropAmmoBox - prop_ammo_box_generic
CPropCounter - prop_counter
CPropDoorRotating - prop_door_rotating
CDynamicProp - prop_dynamic
CDynamicProp - prop_dynamic_glow
CDynamicProp - prop_dynamic_ornament
CDynamicProp - prop_dynamic_override
CPhysicsProp - prop_exploding_barrel
CProp_Hallucination - prop_hallucination
CPhysPropLootCrate - prop_loot_crate
CPhysPropWeaponUpgrade - prop_mapplaced_long_use_entity
CPhysPropLootCrate - prop_metal_crate
CPhysPropLootCrate - prop_money_crate
CPhysPropLootCrate - prop_paradrop_crate
CPhysicsProp - prop_physics
CPhysicsPropMultiplayer - prop_physics_multiplayer
CPhysicsProp - prop_physics_override
CPhysicsProp - prop_physics_respawnable
CRagdollProp - prop_ragdoll
CRagdollPropAttached - prop_ragdoll_attached
CPhysicsProp - prop_sphere
CBaseFlex - prop_talker
CBaseAnimating - prop_vehicle
CPropVehicleDriveable - prop_vehicle_driveable
CPhysPropWeaponUpgrade - prop_weapon_refill_heavyarmor
CPhysPropWeaponUpgrade - prop_weapon_upgrade_armor
CPhysPropWeaponUpgrade - prop_weapon_upgrade_armor_helmet
CPhysPropWeaponUpgrade - prop_weapon_upgrade_chute
CPhysPropWeaponUpgrade - prop_weapon_upgrade_contractkill
CPhysPropWeaponUpgrade - prop_weapon_upgrade_exojump
CPhysPropWeaponUpgrade - prop_weapon_upgrade_helmet
CPhysPropWeaponUpgrade - prop_weapon_upgrade_tablet_droneintel
CPhysPropWeaponUpgrade - prop_weapon_upgrade_tablet_highres
CPhysPropWeaponUpgrade - prop_weapon_upgrade_tablet_zoneintel
CPhysPropRadarJammer - radar_jammer
CBaseAnimating - raggib
CBaseEntity - rope_anchor
CBaseEntity - scene_manager
CSceneEntity - scripted_scene
CBaseEntity - scripted_sentence
CBaseEntity - scripted_sequence
CAI_BaseNPC - scripted_target
CShadowControl - shadow_control
CBaseEntity - simple_physics_brush
CBaseAnimating - simple_physics_prop
CBaseEntity - sky_camera
CBaseEntity - skybox_swapper
CSmokeGrenadeProjectile - smokegrenade_projectile
CSnowballProjectile - snowball_projectile
CBaseEntity - soundent
CBaseEntity - spark_shower
CSpotlightEnd - spotlight_end
CSunlightShadowControl - sunlight_shadow_control
CSurvivalSpawnChopper - survival_spawn_chopper
CSensorGrenadeProjectile - tagrenade_projectile
CBaseEntity - tanktrain_ai
CBaseEntity - tanktrain_aitarget
CBaseEntity - target_cdaudio
CBaseEntity - target_changegravity
CBaseEntity - te_tester
CTeam - team_manager
CBaseEntity - test_effect
CTest_ProxyToggle_Networkable - test_proxytoggle
CTestTraceline - test_traceline
CBaseTrigger - trigger
CBaseTrigger - trigger_auto_crouch
CBaseTrigger - trigger_autosave
CBaseTrigger - trigger_bomb_reset
CBaseEntity - trigger_brush
CBaseTrigger - trigger_cdaudio
CBaseTrigger - trigger_changelevel
CBaseTrigger - trigger_fog
CBaseTrigger - trigger_gravity
CBaseTrigger - trigger_hierarchy
CBaseTrigger - trigger_hurt
CBaseTrigger - trigger_impact
CBaseTrigger - trigger_look
CBaseTrigger - trigger_multiple
CBaseTrigger - trigger_once
CTriggerPlayerMovement - trigger_playermovement
CBaseTrigger - trigger_proximity
CBaseTrigger - trigger_push
CBaseTrigger - trigger_remove
CBaseTrigger - trigger_safemoneygather
CBaseTrigger - trigger_serverragdoll
CBaseTrigger - trigger_softbarrier
CTriggerSoundOperator - trigger_soundoperator
CBaseTrigger - trigger_soundscape
CBaseTrigger - trigger_survival_playarea
CBaseTrigger - trigger_teleport
CBaseTrigger - trigger_togglesave
CBaseTrigger - trigger_tonemap
CBaseEntity - trigger_transition
CBaseVPhysicsTrigger - trigger_vphysics_motion
CBaseVPhysicsTrigger - trigger_wind
CMovieDisplay - vgui_movie_display
CVGuiScreen - vgui_screen
CVGuiScreen - vgui_screen_team
CSlideshowDisplay - vgui_slideshow_display
CWorldVguiText - vgui_world_text_panel
CBaseViewModel - viewmodel
CVoteController - vote_controller
CWaterLODControl - water_lod_control
CWaterBullet - waterbullet
CAK47 - weapon_ak47
CWeaponAug - weapon_aug
CWeaponAWP - weapon_awp
CBaseCSGrenade - weapon_basecsgrenade
CWeaponBizon - weapon_bizon
CBreachCharge - weapon_breachcharge
CBumpMine - weapon_bumpmine
CC4 - weapon_c4
CWeaponCSBase - weapon_cs_base
CWeaponCSBaseGun - weapon_csbase_gun
CDEagle - weapon_deagle
CDecoyGrenade - weapon_decoy
CWeaponElite - weapon_elite
CWeaponFamas - weapon_famas
CFists - weapon_fists
CWeaponFiveSeven - weapon_fiveseven
CFlashbang - weapon_flashbang
CWeaponG3SG1 - weapon_g3sg1
CWeaponGalil - weapon_galil
CWeaponGalilAR - weapon_galilar
CWeaponGlock - weapon_glock
CItem_Healthshot - weapon_healthshot
CHEGrenade - weapon_hegrenade
CWeaponHKP2000 - weapon_hkp2000
CIncendiaryGrenade - weapon_incgrenade
CKnife - weapon_knife
CKnifeGG - weapon_knifegg
CWeaponM249 - weapon_m249
CWeaponM3 - weapon_m3
CWeaponM4A1 - weapon_m4a1
CWeaponMAC10 - weapon_mac10
CWeaponMag7 - weapon_mag7
CMelee - weapon_melee
CMolotovGrenade - weapon_molotov
CWeaponMP5Navy - weapon_mp5navy
CWeaponMP7 - weapon_mp7
CWeaponMP9 - weapon_mp9
CWeaponNegev - weapon_negev
CWeaponNOVA - weapon_nova
CWeaponP228 - weapon_p228
CWeaponP250 - weapon_p250
CWeaponP90 - weapon_p90
CWeaponSawedoff - weapon_sawedoff
CSCAR17 - weapon_scar17
CWeaponSCAR20 - weapon_scar20
CWeaponScout - weapon_scout
CWeaponSG550 - weapon_sg550
CWeaponSG552 - weapon_sg552
CWeaponSG556 - weapon_sg556
CWeaponShield - weapon_shield
CSmokeGrenade - weapon_smokegrenade
CSnowball - weapon_snowball
CWeaponSSG08 - weapon_ssg08
CTablet - weapon_tablet
CSensorGrenade - weapon_tagrenade
CWeaponTaser - weapon_taser
CWeaponTec9 - weapon_tec9
CWeaponTMP - weapon_tmp
CWeaponUMP45 - weapon_ump45
CWeaponUSP - weapon_usp
CWeaponXM1014 - weapon_xm1014
CWeaponZoneRepulsor - weapon_zone_repulsor
CBaseWeaponWorldModel - weaponworldmodel
CEconWearable - wearable_item
CBaseAnimating - window_pane
CBaseAnimating - world_items
CWorld - worldspawn
